family,family_templates,support_band,element,observed_by_model,reported_count,missing_count,positive_count,positive_fraction,all_minimum,all_p05,all_p25,all_median,all_p75,all_p95,all_maximum,positive_minimum,positive_p05,positive_p25,positive_median,positive_p75,positive_p95,positive_maximum
other,13,insufficient,Mn,False,2,11,2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.6699999999999987,1.21,0.31,0.355,0.5349999999999999,0.76,0.985,1.165,1.21
other,13,insufficient,Cu,False,1,12,1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.12399999999999956,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
other,13,insufficient,P,False,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,S,False,1,12,1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0003999999999999986,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
other,13,insufficient,Al,True,13,0,3,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,38.48,39.29,27.97,28.967,32.955,37.94,38.614999999999995,39.155,39.29
other,13,insufficient,V,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Ta,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Re,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Ce,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Ti,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Co,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,B,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Mg,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Y,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
other,13,insufficient,Gd,True,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
