draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
28,all,surrogate_mae,32,-0.02126099706744868,-0.020161290322580648
28,all,surrogate_rmse,32,-0.05828445747800586,-0.03225806451612904
28,informed,surrogate_spearman,27,-0.2631257631257631,-0.1737891737891738
28,generic,surrogate_spearman,5,-0.3,-0.19999999999999998
28,informed,pren_spearman,27,-0.3345543345543345,-0.23076923076923084
28,generic,fake_pren_spearman,5,-0.49999999999999994,-0.19999999999999998
29,all,surrogate_spearman,32,0.18145161290322578,0.12903225806451615
29,all,surrogate_mae,32,-0.02565982404692082,-0.024193548387096777
29,all,surrogate_rmse,32,-0.009897360703812315,-0.00403225806451613
29,informed,surrogate_spearman,25,0.050769230769230775,0.03999999999999999
29,generic,surrogate_spearman,7,-0.3214285714285715,-0.14285714285714288
29,informed,pren_spearman,25,0.17307692307692307,0.11999999999999998
29,generic,fake_pren_spearman,7,0.5714285714285715,0.5238095238095238
30,all,surrogate_spearman,32,0.14589442815249265,0.07258064516129033
30,all,surrogate_mae,32,-0.24193548387096772,-0.1532258064516129
30,all,surrogate_rmse,32,-0.26832844574780057,-0.16129032258064518
30,informed,surrogate_spearman,28,0.1647509578544061,0.08994708994708994
30,generic,surrogate_spearman,4,-0.19999999999999998,0.0
30,informed,pren_spearman,28,0.06896551724137931,0.042328042328042326
30,generic,fake_pren_spearman,4,0.39999999999999997,0.3333333333333334
31,all,surrogate_spearman,32,-0.04728739002932551,-0.020161290322580648
31,all,surrogate_mae,32,0.00036656891495601173,0.0
31,all,surrogate_rmse,32,-0.003299120234604105,0.0
31,informed,surrogate_spearman,27,0.07631257631257632,0.059829059829059845
31,generic,surrogate_spearman,5,-0.6,-0.39999999999999997
31,informed,pren_spearman,27,-0.09401709401709402,-0.07692307692307693
31,generic,fake_pren_spearman,5,0.0,-0.19999999999999998
32,all,surrogate_spearman,32,0.0751466275659824,0.048387096774193554
32,all,surrogate_mae,32,-0.08394428152492668,-0.06451612903225808
32,all,surrogate_rmse,32,-0.018328445747800584,-0.01612903225806452
32,informed,surrogate_spearman,27,0.07814407814407814,0.03703703703703704
32,generic,surrogate_spearman,5,-0.3,-0.19999999999999998
32,informed,pren_spearman,27,0.06288156288156288,0.05413105413105414
32,generic,fake_pren_spearman,5,0.49999999999999994,0.39999999999999997
33,all,surrogate_spearman,32,0.1440615835777126,0.10483870967741937
33,all,surrogate_mae,32,0.006231671554252198,0.012096774193548388
33,all,surrogate_rmse,32,-0.004032258064516129,0.00403225806451613
33,informed,surrogate_spearman,28,0.12753147235905857,0.10582010582010583
33,generic,surrogate_spearman,4,0.0,0.0
33,informed,pren_spearman,28,-0.041050903119868636,-0.010582010582010581
33,generic,fake_pren_spearman,4,0.19999999999999998,0.0
34,all,surrogate_spearman,32,0.19648093841642225,0.14112903225806453
34,all,surrogate_mae,32,-0.20601173020527858,-0.12500000000000003
34,all,surrogate_rmse,32,-0.29325513196480935,-0.19354838709677422
34,informed,surrogate_spearman,27,-0.0036630036630036626,-0.0028490028490028496
34,generic,surrogate_spearman,5,0.19999999999999998,0.19999999999999998
34,informed,pren_spearman,27,0.28205128205128205,0.17948717948717952
34,generic,fake_pren_spearman,5,0.49999999999999994,0.39999999999999997
35,all,surrogate_spearman,32,-0.02126099706744868,-0.024193548387096777
35,all,surrogate_mae,32,-0.05388563049853372,-0.03225806451612904
35,all,surrogate_rmse,32,-0.093841642228739,-0.060483870967741944
35,informed,surrogate_spearman,26,0.019487179487179485,-0.009230769230769232
35,generic,surrogate_spearman,6,-0.3142857142857143,-0.2
35,informed,pren_spearman,26,-0.08854700854700855,-0.05230769230769231
35,generic,fake_pren_spearman,6,-0.2571428571428572,-0.2
36,all,surrogate_spearman,32,0.08174486803519061,0.036290322580645164
36,all,surrogate_mae,32,-0.1033724340175953,-0.0685483870967742
36,all,surrogate_rmse,32,-0.0971407624633431,-0.0685483870967742
36,informed,surrogate_spearman,26,-0.007179487179487179,-0.033846153846153845
36,generic,surrogate_spearman,6,-0.6,-0.4666666666666666
36,informed,pren_spearman,26,0.004444444444444444,-0.033846153846153845
36,generic,fake_pren_spearman,6,0.2,0.06666666666666665
37,all,surrogate_spearman,32,-0.02309384164222874,-0.03225806451612904
37,all,surrogate_mae,32,-0.08394428152492668,-0.048387096774193554
37,all,surrogate_rmse,32,-0.04105571847507331,-0.020161290322580648
37,informed,surrogate_spearman,24,0.009565217391304347,0.007246376811594203
37,generic,surrogate_spearman,8,0.19047619047619052,0.14285714285714285
37,informed,pren_spearman,24,0.15652173913043477,0.08695652173913043
37,generic,fake_pren_spearman,8,0.0,0.07142857142857142
38,all,surrogate_spearman,32,0.1502932551319648,0.09677419354838711
38,all,surrogate_mae,32,-0.08174486803519061,-0.060483870967741944
38,all,surrogate_rmse,32,-0.188049853372434,-0.11693548387096775
38,informed,surrogate_spearman,25,0.12461538461538461,0.07999999999999997
38,generic,surrogate_spearman,7,-0.42857142857142866,-0.4285714285714286
38,informed,pren_spearman,25,0.048461538461538466,0.03999999999999999
38,generic,fake_pren_spearman,7,-0.5714285714285715,-0.4285714285714286
39,all,surrogate_spearman,32,0.23936950146627564,0.18145161290322584
39,all,surrogate_mae,32,-0.10703812316715541,-0.10080645161290325
39,all,surrogate_rmse,32,-0.15322580645161288,-0.08870967741935486
39,informed,surrogate_spearman,26,0.2752136752136752,0.20615384615384616
39,generic,surrogate_spearman,6,-0.3142857142857143,-0.2
