trial_number,trial_id,synthetic_seed,sampling_seed,schema_attempts,sample_type,ridge_spearman,ridge_mae,ridge_rmse
30,trial_0030,30200099,30200099,1,informed,0.5266130379029167,0.6940546176077621,0.9547385980125543
30,trial_0030,30200100,30200100,1,informed,-0.1717597253917399,0.9750184538091473,1.2753348175098793
30,trial_0030,30200101,30200101,1,generic,-0.10292336193481268,0.893255000013374,1.1356913527531978
30,trial_0030,30200102,30200102,1,informed,-0.32321035894534733,0.9489956997035854,1.3107665676405644
30,trial_0030,30200103,30200103,1,generic,-0.1527179323000829,1.181919393152273,1.5886762194982986
30,trial_0030,30200104,30200104,1,informed,0.08281859772412119,0.786567623805663,1.0523982449951657
30,trial_0030,30200105,30200105,1,generic,0.20222583711379002,0.7558750598065208,1.0124663171038952
30,trial_0030,30200106,30200106,1,informed,-0.2291184774616084,1.2062103324791276,1.6956635206484054
30,trial_0030,30200107,30200107,1,generic,-0.01866365918215458,0.7919905197058256,1.0271999764695943
30,trial_0030,30200108,30200108,1,generic,-0.19086362730265505,0.934883514499554,1.3815159092936935
30,trial_0030,30200109,30200109,1,informed,0.2191217869020522,0.7611496553437317,1.0184838275470451
30,trial_0030,30200110,30200110,1,informed,0.49407791247101285,0.7260954769876223,0.9676684399100424
30,trial_0030,30200111,30200111,1,informed,-0.2900519310539775,1.0062855229487144,1.4428530191619753
30,trial_0030,30200112,30200112,1,informed,0.3577219636006662,0.7844534786409099,1.0835454461046006
30,trial_0030,30200113,30200113,1,informed,0.4113992099416777,0.7576474417686777,1.0454035486230724
30,trial_0030,30200114,30200114,1,informed,0.4325763080665604,0.752276256717137,1.0591763405114158
30,trial_0030,30200115,30200115,1,generic,-0.18397401790370183,0.8205783677869045,1.0861767864763645
30,trial_0030,30200116,30200116,1,informed,0.4987303332234589,0.737624046331089,1.0690903937543372
30,trial_0030,30200117,30200117,1,informed,-0.36288291397910305,0.9825397498119701,1.3011648756981598
30,trial_0030,30200118,30200118,1,generic,-0.20843008990727538,0.8481679398371296,1.0944663106213162
30,trial_0030,30200119,30200119,1,generic,0.2422137064854568,1.1401097732924008,1.4950536659086275
30,trial_0030,30200120,30200120,1,informed,-0.4815436310577185,1.578154590287738,2.1598864930705557
30,trial_0030,30200121,30200121,1,informed,0.06578724961641094,0.7825811006444967,1.0212816789082042
30,trial_0030,30200122,30200122,1,informed,0.099835279730805,0.8693054882786827,1.152642891251436
30,trial_0030,30200123,30200123,1,informed,0.2764234737605644,0.8303232074869203,1.190331877241026
30,trial_0030,30200124,30200124,1,informed,-0.01201104468133478,0.8144206661203325,1.0655293578392122
30,trial_0030,30200125,30200125,1,informed,0.4480357453798224,0.8735963592003504,1.5410896173987005
30,trial_0030,30200126,30200126,1,informed,0.286025847126727,0.8256888499613573,1.1756411945644571
30,trial_0030,30200127,30200127,1,informed,0.5481572396078254,0.7083850423593022,1.017101187419413
30,trial_0030,30200128,30200128,1,informed,0.02542143769163917,0.8459316714034211,1.1675608830420314
30,trial_0030,30200129,30200129,1,informed,0.539374131320342,0.706271807244834,1.0130028882564057
30,trial_0030,30200130,30200130,1,informed,0.022992154558808237,1.9176086155732288,4.17888240663381
30,trial_0030,30200131,30200131,1,informed,0.4027407840153902,0.7117383369919709,1.0334614872448684
30,trial_0030,30200132,30200132,1,informed,0.2958325344520164,0.7464091497347723,0.9890526044860894
30,trial_0030,30200133,30200133,1,informed,0.4850286684397406,0.7329845487563327,1.0476504546683312
30,trial_0030,30200134,30200134,1,generic,-0.24347890031156116,0.7996876009897347,1.0889418900094368
30,trial_0030,30200135,30200135,1,informed,-0.021448919887336132,0.800653032740804,1.0885893952323447
30,trial_0030,30200136,30200136,1,generic,-0.3280019094669901,0.9814361234001027,1.36036515553388
30,trial_0030,30200137,30200137,1,generic,0.08127940887362188,1.2863495457858916,1.7141547290803847
30,trial_0030,30200138,30200138,1,informed,0.09838556366438676,0.7837855466393407,1.0367347044983959
30,trial_0030,30200139,30200139,1,informed,0.11490460969141529,0.8344660376869096,1.164722629583091
30,trial_0030,30200140,30200140,1,informed,-0.3183021766995122,0.9891788817306786,1.394880316431976
30,trial_0030,30200141,30200141,1,generic,0.1447858815898693,0.8039705303973407,1.026325865071247
30,trial_0030,30200142,30200142,1,informed,0.06638301042297086,0.7832874695838571,1.0204951861175728
30,trial_0030,30200143,30200143,1,informed,0.11673524800341178,0.7580829003963032,1.0073444138695193
30,trial_0030,30200144,30200144,1,generic,-0.010529823150922218,0.76953798827462,1.0199514520245174
30,trial_0030,30200145,30200145,1,informed,-0.045159139327247126,1.013539311569636,1.4548226218477929
30,trial_0030,30200146,30200146,1,informed,0.2269527740978302,0.8853364580574031,1.3371893877241876
30,trial_0030,30200147,30200147,1,informed,0.07614522105418756,0.9399736381617015,1.2741351914699612
30,trial_0030,30200148,30200148,1,informed,0.14863166678586198,0.8156200449054644,1.0797944627520928
30,trial_0030,30200149,30200149,1,generic,0.1720677818548653,0.7775955068366587,0.9923484982078987
