template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0069,fe_alloy,63.115,17.95,0.07,0,0,0.03,0,0.022,0.34,18.25,0.2,0.012,0.011,0,0,0,0,0,0,0,0,0,0,0
epit_0070,fe_alloy,63.164,17.88,0.07,0,0,0.1,0,0.026,0.32,18.2,0.22,0.006,0.014,0,0,0,0,0,0,0,0,0,0,0
epit_0071,fe_alloy,63.07,17.88,0.07,0,0,0.18,0,0.027,0.38,18.14,0.23,0.006,0.017,0,0,0,0,0,0,0,0,0,0,0
epit_0072,fe_alloy,62.871,17.88,0.08,0,0,0.33,0,0.03,0.37,18.2,0.22,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0073,fe_alloy,62.778,18.1,0.08,0,0,0.4,0,0.032,0.37,18,0.22,0.011,0.009,0,0,0,0,0,0,0,0,0,0,0
epit_0074,fe_alloy,63.201,17.83,0.08,0,0,0.52,0,0.038,0.29,17.8,0.22,0.009,0.012,0,0,0,0,0,0,0,0,0,0,0
epit_0075,fe_alloy,62.042,18.25,0.07,0,0,0.69,0,0.037,0.4,18.25,0.24,0.008,0.013,0,0,0,0,0,0,0,0,0,0,0
epit_0076,fe_alloy,53.127,20.14,24.75,0.08,0,0.01,0,0.003,0.53,1.31,0.037,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0077,fe_alloy,53.062,20.14,24.75,0.08,0,0.064,0,0.014,0.53,1.31,0.037,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0078,fe_alloy,52.888,20.03,24.87,0.04,0,0.13,0,0.014,0.55,1.43,0.036,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0079,fe_alloy,52.878,19.96,24.9,0.04,0,0.18,0,0.013,0.55,1.43,0.036,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0080,fe_alloy,48.759,19.85,24.86,4.5,0,0.015,0,0.003,0.54,1.42,0.04,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0081,fe_alloy,48.696,19.85,24.86,4.5,0,0.061,0,0.02,0.54,1.42,0.04,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0082,fe_alloy,48.494,19.87,24.95,4.55,0,0.13,0,0.015,0.49,1.45,0.039,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0083,fe_alloy,48.332,19.83,24.99,4.59,0,0.21,0,0.014,0.54,1.44,0.042,0.009,0.003,0,0,0,0,0,0,0,0,0,0,0
epit_0084,fe_alloy,52.208,20.06,25.58,0.01,0,,0,0.053,0.54,1.53,,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0085,fe_alloy,51.044,19.99,25.88,1.05,0,,0,0.057,0.48,1.48,,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0086,fe_alloy,49.277,20.16,25.52,2.97,0,,0,0.064,0.52,1.47,,0.009,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0087,fe_alloy,47.343,19.96,25.66,5.06,0,,0,0.059,0.46,1.44,,0.008,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0088,other,0,100,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0089,other,0,0,100,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0090,fe_alloy,55,20,25,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0091,fe_alloy,50,20,25,5,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0092,fe_alloy,85,15,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0093,fe_alloy,80,20,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0094,fe_alloy,77,23,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0095,fe_alloy,72,28,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0096,fe_alloy,70,30,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0097,fe_alloy,60,40,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0098,fe_alloy,40,60,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0099,other,30,70,0,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0100,fe_alloy,96,0,0,4,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0101,fe_alloy,92,0,0,8,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0102,fe_alloy,90,0,0,10,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0103,fe_alloy,80,0,0,20,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0104,fe_alloy,41,0,0,59,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0105,fe_alloy,65,5,25,5,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0106,fe_alloy,60,10,25,5,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
