draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
35,all,surrogate_rmse,32,-0.13929618768328444,-0.07661290322580645
35,informed,surrogate_spearman,26,0.2656410256410256,0.18153846153846157
35,generic,surrogate_spearman,6,-0.3714285714285715,-0.3333333333333333
35,informed,pren_spearman,26,-0.08854700854700855,-0.05230769230769231
35,generic,fake_pren_spearman,6,-0.2571428571428572,-0.2
36,all,surrogate_spearman,32,-0.006231671554252198,-0.00403225806451613
36,all,surrogate_mae,32,-0.04912023460410556,-0.05645161290322581
36,all,surrogate_rmse,32,-0.041788856304985335,-0.05645161290322581
36,informed,surrogate_spearman,26,-0.14256410256410257,-0.09538461538461539
36,generic,surrogate_spearman,6,-0.2571428571428572,-0.2
36,informed,pren_spearman,26,0.004444444444444444,-0.033846153846153845
36,generic,fake_pren_spearman,6,0.2,0.06666666666666665
37,all,surrogate_spearman,32,-0.00843108504398827,0.024193548387096777
37,all,surrogate_mae,32,-0.19061583577712607,-0.12096774193548389
37,all,surrogate_rmse,32,-0.22763929618768325,-0.14919354838709678
37,informed,surrogate_spearman,24,0.08782608695652173,0.11594202898550725
37,generic,surrogate_spearman,8,-0.38095238095238104,-0.2857142857142857
37,informed,pren_spearman,24,0.15652173913043477,0.08695652173913043
37,generic,fake_pren_spearman,8,0.0,0.07142857142857142
38,all,surrogate_spearman,32,0.31524926686217003,0.18548387096774197
38,all,surrogate_mae,32,-0.2166422287390029,-0.14919354838709678
38,all,surrogate_rmse,32,-0.1946480938416422,-0.12903225806451615
38,informed,surrogate_spearman,25,0.23076923076923078,0.13999999999999996
38,generic,surrogate_spearman,7,0.1785714285714286,0.14285714285714288
38,informed,pren_spearman,25,0.048461538461538466,0.03999999999999999
38,generic,fake_pren_spearman,7,-0.5714285714285715,-0.4285714285714286
39,all,surrogate_spearman,32,0.15579178885630496,0.12096774193548389
39,all,surrogate_mae,32,-0.044721407624633426,-0.03225806451612904
39,all,surrogate_rmse,32,-0.10190615835777124,-0.07661290322580645
39,informed,surrogate_spearman,26,0.22256410256410253,0.14461538461538462
39,generic,surrogate_spearman,6,0.028571428571428574,0.06666666666666665
39,informed,pren_spearman,26,0.12615384615384614,0.1076923076923077
39,generic,fake_pren_spearman,6,-0.08571428571428573,-0.06666666666666665
40,all,surrogate_spearman,32,0.14002932551319647,0.08064516129032259
40,all,surrogate_mae,32,-0.031524926686217,-0.00806451612903226
40,all,surrogate_rmse,32,-0.0219941348973607,0.00403225806451613
40,informed,surrogate_spearman,24,-0.047826086956521734,-0.043478260869565216
40,generic,surrogate_spearman,8,0.1666666666666667,0.07142857142857142
40,informed,pren_spearman,24,-0.06173913043478261,-0.043478260869565216
40,generic,fake_pren_spearman,8,0.4285714285714286,0.2857142857142857
41,all,surrogate_spearman,32,-0.018328445747800584,-0.020161290322580648
41,all,surrogate_mae,32,-0.06121700879765395,-0.036290322580645164
41,all,surrogate_rmse,32,-0.0813782991202346,-0.048387096774193554
41,informed,surrogate_spearman,25,-0.19384615384615386,-0.1333333333333333
41,generic,surrogate_spearman,7,0.07142857142857144,-0.04761904761904762
41,informed,pren_spearman,25,0.28769230769230764,0.20666666666666664
41,generic,fake_pren_spearman,7,0.14285714285714288,0.14285714285714288
42,all,surrogate_spearman,32,0.2598973607038123,0.2056451612903226
42,all,surrogate_mae,32,-0.34934017595307915,-0.23790322580645165
42,all,surrogate_rmse,32,-0.36950146627565983,-0.2459677419354839
42,informed,surrogate_spearman,26,0.4844444444444444,0.37230769230769234
42,generic,surrogate_spearman,6,0.7142857142857143,0.6
42,informed,pren_spearman,26,0.416068376068376,0.31076923076923074
42,generic,fake_pren_spearman,6,0.2,0.2
43,all,surrogate_spearman,32,0.027126099706744865,0.0
43,all,surrogate_mae,32,-0.13196480938416422,-0.05645161290322581
43,all,surrogate_rmse,32,-0.14772727272727273,-0.07258064516129033
43,informed,surrogate_spearman,25,-0.09461538461538462,-0.07999999999999997
43,generic,surrogate_spearman,7,0.10714285714285716,-0.04761904761904762
