trial_number,trial_id,draw_index,model,mean_test_spearman,synthetic_seed,sampling_seed,schema_attempts,sample_type,surrogate_spearman,surrogate_mae,surrogate_rmse,pren_spearman,pren_mae,pren_rmse,fake_pren_spearman,fake_pren_mae,fake_pren_rmse
15,trial_0015,136,extra_trees,0.8100199921308772,15200136,15200136,1,informed,0.3362869768943861,0.7565187507623313,0.9738600575006252,0.48864632947344905,0.7928226542201978,1.0633550960361215,,,
15,trial_0015,137,extra_trees,0.8100199921308772,15200137,15200137,1,informed,0.4170829890502929,0.6949456308339718,0.9290296272010926,0.5009252047695207,0.7519562671749287,1.016579209340784,,,
15,trial_0015,138,extra_trees,0.8100199921308772,15200138,15200138,1,informed,0.0806771425605401,0.7883571428703616,1.0126439398042462,0.2989118005934313,0.9394503084457198,1.199465653878769,,,
15,trial_0015,139,extra_trees,0.8100199921308772,15200139,15200139,1,informed,-0.26399586338696035,0.8574532222230944,1.1099233035651908,0.5256506382390103,0.722094515690031,1.0096511126691627,,,
15,trial_0015,140,extra_trees,0.8100199921308772,15200140,15200140,1,informed,0.4320212253371358,0.7165342523152389,0.9299001638641923,0.5091596259241953,0.7812171570716828,1.0198326413800296,,,
15,trial_0015,141,extra_trees,0.8100199921308772,15200141,15200141,1,informed,0.3787529090905823,0.7003089253372938,0.9356210691432482,0.5521176746224663,0.703974941191072,0.9462544978094125,,,
15,trial_0015,142,extra_trees,0.8100199921308772,15200142,15200142,1,informed,-0.18021812401835877,0.8060478658415539,1.0494954700047197,0.49295730207142985,0.7866575629494904,1.0360243024611355,,,
15,trial_0015,143,extra_trees,0.8100199921308772,15200143,15200143,1,informed,0.22381632047288683,0.7488979892688278,0.9773569978115958,0.4715682083948977,0.7616360160810063,1.0440252480971923,,,
15,trial_0015,144,extra_trees,0.8100199921308772,15200144,15200144,1,informed,0.21859259160626154,0.7596678651028721,0.9800951002972865,0.5151159354999553,0.761401048192467,1.033794415422108,,,
15,trial_0015,145,extra_trees,0.8100199921308772,15200145,15200145,1,informed,0.2810288455368133,0.739958666508273,0.9594867687200092,0.35621648081273083,0.9224822158511296,1.1777018862555046,,,
15,trial_0015,146,extra_trees,0.8100199921308772,15200146,15200146,1,informed,-0.10853247256363395,0.8800749383561258,1.111358152100157,0.3881564878488374,0.8997970925947252,1.1655347674883985,,,
15,trial_0015,147,extra_trees,0.8100199921308772,15200147,15200147,1,informed,-0.01950368416493801,0.7872159158846683,1.013670932359788,0.2491473688607457,0.9677752475890798,1.27275733025857,,,
15,trial_0015,148,extra_trees,0.8100199921308772,15200148,15200148,1,informed,0.44934906566345284,0.6731012668337003,0.878300028415401,0.4856148750947465,0.7643168495486747,1.0347223552653881,,,
15,trial_0015,149,extra_trees,0.8100199921308772,15200149,15200149,1,informed,-0.12871010659964424,0.9114189007617935,1.1612594159922647,0.48366943661264666,0.8024067340316933,1.0783384196129724,,,
15,trial_0015,150,extra_trees,0.8100199921308772,15200150,15200150,1,informed,0.31737161302275163,0.7371098838246495,0.9638259233322825,0.47175007898227667,0.7925042488602977,1.074460484079673,,,
15,trial_0015,151,extra_trees,0.8100199921308772,15200151,15200151,1,informed,0.46061777092415584,0.7003635615140653,0.9344390727049574,0.20695776644934016,0.9711342260587174,1.2995636284047645,,,
15,trial_0015,152,extra_trees,0.8100199921308772,15200152,15200152,1,informed,0.2595510875610245,0.7472862750201034,0.9655971260349684,0.4081651091381684,0.875761959523023,1.158786414970639,,,
15,trial_0015,153,extra_trees,0.8100199921308772,15200153,15200153,1,informed,-0.2386155458141774,0.7836850868154445,1.0451211543132646,0.46199139477609713,0.8189277127708648,1.0623021900699565,,,
15,trial_0015,154,extra_trees,0.8100199921308772,15200154,15200154,1,informed,0.3863744738213096,0.7586446892939726,1.0031624328109257,0.24997693984825436,1.0050819642096196,1.2587973990462975,,,
15,trial_0015,155,extra_trees,0.8100199921308772,15200155,15200155,1,informed,0.09773155634006504,0.7617285142902065,0.9988598439966262,0.5313038392813481,0.74064696331244,0.9714373777002698,,,
15,trial_0015,156,extra_trees,0.8100199921308772,15200156,15200156,1,informed,0.06409770481000394,0.8237405848025551,1.0246397250549317,0.3674176778837993,0.8853592929369903,1.1591066003902042,,,
15,trial_0015,157,extra_trees,0.8100199921308772,15200157,15200157,1,informed,0.3774646459845471,0.7067929893526879,0.9366896116092815,0.4904877110803259,0.8124751694237049,1.074024795456133,,,
15,trial_0015,158,extra_trees,0.8100199921308772,15200158,15200158,1,informed,0.3994107729611527,0.7408730539349987,0.9517336805957872,0.3909319757094394,0.8829470075783552,1.1836364373596384,,,
